Symbol,Name,Country,Date,Type,Last,Unit,URL,Importance,Forecast1,ForecastDate1,Forecast2,ForecastDate2,Forecast3,ForecastDate3,Forecast4,ForecastDate4
USDBBD:CUR,USDBBD,Barbados,2024-04-09T00:00:00,currency,1.9981,,/usdbbd:cur,200,1.9981,31/12/2024,1.9981,31/03/2025,1.9981,30/06/2025,1.9981,30/09/2025
USDBMD:CUR,USDBMD,Bermuda,2024-04-08T00:00:00,currency,1,,/usdbmd:cur,200,1,31/12/2024,1,31/03/2025,1,30/06/2025,1,30/09/2025
USDBTN:CUR,USDBTN,Bhutan,2024-11-21T00:00:00,currency,84.5035,,/bhutan/currency,200,84.234456,31/12/2024,84.377411,31/03/2025,84.520367,30/06/2025,84.663322,30/09/2025
USDGIP:CUR,USDGIP,Gibraltar,2024-04-09T00:00:00,currency,0.7899,,/usdgip:cur,200,0.79456,31/12/2024,0.799221,31/03/2025,0.80396,30/06/2025,0.8087,30/09/2025
USDHRK:CUR,USDHRK,Croatia,2023-10-13T00:00:00,currency,7.0385,,/usdhrk:cur,200,7.0385,31/12/2024,7.0385,31/03/2025,7.0385,30/06/2025,7.0385,30/09/2025
USDSBD:CUR,USDSBD,Solomon Islands,2024-04-09T00:00:00,currency,8.0645,,/usdsbd:cur,200,8.130629,31/12/2024,8.197564,31/03/2025,8.2645,30/06/2025,8.332241,30/09/2025
USDVUV:CUR,USDVUV,Vanuatu,2024-04-09T00:00:00,currency,118.3,,/usdvuv:cur,200,119.54215,31/12/2024,120.79613,31/03/2025,122.06194,30/06/2025,123.35141,30/09/2025
USDXCD:CUR,USDXCD,Eastern Caribbean,2024-04-09T00:00:00,currency,2.7,,/usdxcd:cur,200,2.7,31/12/2024,2.7,31/03/2025,2.7,30/06/2025,2.7,30/09/2025
USDXDR:CUR,USDXDR,Imf,2024-04-09T00:00:00,currency,0.75355,,/usdxdr:cur,200,0.755886,31/12/2024,0.758222,31/03/2025,0.760558,30/06/2025,0.762969,30/09/2025
BTCUSD:CUR,Bitcoin,other,2024-11-22T12:05:17.297,currency,98888,,/btcusd:cur,201,70903.37996,31/12/2024,67982.35178,31/03/2025,65179.70043,30/06/2025,62495.31285,30/09/2025
